Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,2276,1786,230.0,4395.967879876982,6.99430000000234,14227.037900000028,92362.72319859403,3.80793598174217,2.9881255111562015,230,9200,10000,10000,11000,11000,13000,13000,14000,14000,14000
POST,/api/customer/owners,560,324,61,2718.651021249998,7.8288999999927,13272.0367,87.9,0.9369262520982491,0.5420787601425584,72,4500,5500,6300,8300,9500,11000,11000,13000,13000,13000
GET,/api/customer/owners/1,156,83,72,2916.025646794869,7.80319999998369,11588.663899999972,140.51282051282053,0.2610008845130837,0.13886585522170478,92,4800,6000,6500,7800,9000,10000,11000,12000,12000,12000
GET,/api/customer/owners/10,170,97,150.0,2525.9556529411752,8.280600000006189,10806.240799999983,142.12941176470588,0.2844240408155399,0.162289011524161,200,4300,5500,6000,8000,9000,10000,10000,11000,11000,11000
GET,/api/customer/owners/2,164,92,43,2500.1614164634134,8.124299999991536,11949.175400000002,141.41463414634146,0.2743855452573444,0.15392359855899806,43,4200,5000,5500,7300,8900,11000,12000,12000,12000,12000
GET,/api/customer/owners/3,156,88,160.0,2609.5484634615395,7.827600000013035,12739.560299999994,140.5897435897436,0.2610008845130837,0.14723126818686771,180,4300,5400,5600,7200,9000,11000,13000,13000,13000,13000
GET,/api/customer/owners/4,161,94,240.0,3092.7786639751503,7.800799999998276,11414.3555,140.50931677018633,0.26936629747824664,0.15726976374506324,240,5000,6200,6800,9000,10000,11000,11000,11000,11000,11000
GET,/api/customer/owners/5,138,76,260.0,2828.2316862318803,7.954299999994419,11038.307199999992,140.36231884057972,0.2308853978384971,0.12715427707047666,260,4900,5500,5900,8600,9300,10000,11000,11000,11000,11000
GET,/api/customer/owners/6,164,86,72,2975.2472207317096,8.06569999997464,11916.469699999994,139.4390243902439,0.2743855452573444,0.14388510300080254,74,5000,6300,7200,8700,9700,10000,11000,12000,12000,12000
GET,/api/customer/owners/7,172,89,580.0,3291.399091279072,8.26510000000269,12972.929100000016,140.76162790697674,0.2877702060016051,0.1489043507799003,780,5000,6500,7400,8800,10000,12000,13000,13000,13000,13000
GET,/api/customer/owners/8,152,85,230.0,3046.2080171052653,8.162099999992734,11072.92650000005,140.5065789473684,0.2543085541409533,0.14221202040776995,260,5200,6600,7000,8000,9300,10000,11000,11000,11000,11000
GET,/api/customer/owners/9,177,103,51,2747.519968361585,7.6689999999928204,10528.398600000002,141.31073446327684,0.29613561896676804,0.17232750708235653,51,4500,6000,6700,8100,9600,10000,10000,11000,11000,11000
GET,/api/vet/vets,1057,579,21,196.6267770104068,7.662900000013906,3581.89880000009,77.04541154210028,1.7684483008354452,0.9687148213658683,21,160,310,400,570,720,1000,1600,3400,3600,3600
,Aggregated,5503,3582,51,2967.210547483191,6.99430000000234,14227.037900000028,38265.46701799019,9.20697350945833,5.992981848242729,51,3400,6400,8000,10000,11000,12000,13000,14000,14000,14000
