Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,2584,1925,330.0,3238.0402750387,7.737000000020089,21811.7963,78705.71710526316,4.324041043161651,3.221276705915704,330,4300,6700,7900,10000,11000,13000,14000,16000,22000,22000
POST,/api/customer/owners,616,430,250.0,2065.6200123376625,7.643800000039391,18867.754500000003,78.2711038961039,1.0308085458930254,0.7195579135292223,250,1400,3600,4400,7100,10000,12000,12000,19000,19000,19000
GET,/api/customer/owners/1,153,107,240.0,2296.7788588235326,7.821599999999762,14534.171799999996,143.18954248366012,0.25602874597667674,0.17905278313401576,240,1300,3700,5100,8100,11000,12000,14000,15000,15000,15000
GET,/api/customer/owners/10,205,149,130.0,1723.7277346341464,8.017199999983404,14512.714899999992,144.62926829268292,0.3430450517988152,0.2493351839903584,130,850,2000,3800,5800,9200,11000,12000,15000,15000,15000
GET,/api/customer/owners/2,180,121,270.0,2229.190522222228,7.87480000008145,14661.326300000013,143.08333333333334,0.3012102893843256,0.20248025008612996,280,1800,4000,4900,7000,10000,12000,13000,15000,15000,15000
GET,/api/customer/owners/3,170,117,310.0,2274.814761764702,7.758800000033261,13683.193499999987,142.7,0.28447638441852974,0.19578668809981162,320,2300,4100,4500,7500,11000,13000,14000,14000,14000,14000
GET,/api/customer/owners/4,194,141,210.0,1760.3608850515413,8.464300000014191,15102.736399999998,143.08247422680412,0.3246377563364398,0.2359480600177217,210,990,2800,3700,5600,9800,12000,13000,15000,15000,15000
GET,/api/customer/owners/5,206,152,140.0,2100.571330097088,8.122799999910058,18865.646699999994,143.54368932038835,0.34471844229539483,0.25435535548009713,170,1400,3000,4000,7100,11000,12000,13000,19000,19000,19000
GET,/api/customer/owners/6,211,140,210.0,2146.93329620853,8.126899999979287,14685.637700000001,141.9431279620853,0.35308539477829276,0.23427466952114212,210,2100,3700,4300,6200,11000,12000,13000,15000,15000,15000
GET,/api/customer/owners/7,214,151,120.0,2123.6190070093467,8.001500000034412,14767.053999999973,143.5841121495327,0.3581055662680315,0.2526819649835176,130,1300,3700,4400,7300,11000,12000,14000,15000,15000,15000
GET,/api/customer/owners/8,192,119,440.0,2542.2260078125005,7.81360000001996,14473.659099999992,141.53645833333334,0.3212909753432806,0.1991334690929708,440,3000,4400,5200,7700,11000,12000,14000,14000,14000,14000
GET,/api/customer/owners/9,203,137,300.0,2225.776886699507,7.948100000021441,12790.0329,142.79802955665025,0.33969827080565607,0.22925449803140335,300,2400,3700,4500,6600,10000,11000,12000,13000,13000,13000
GET,/api/vet/vets,1340,865,83,496.825122910448,7.7727000000038515,13878.3781,90.43656716417911,2.242343265416646,1.4474827795413423,83,300,520,660,1300,2800,3900,4600,5700,14000,14000
,Aggregated,6468,4554,180.0,2229.3804912956057,7.643800000039391,21811.7963,31512.169449598023,10.823489731876766,7.620620321423437,180,1100,3600,4800,8300,11000,12000,13000,16000,22000,22000
