Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,3400,3202,16,2035.2260803235242,4.8154999999496795,16141.594899999973,28198.725588235295,5.624589541283832,5.297039915056127,16,35,500,1700,10000,11000,12000,13000,16000,16000,16000
POST,/api/customer/owners,836,701,16,1368.5238783492837,5.301100000110637,12769.238099999995,67.02392344497608,1.3829873107392012,1.159658020129402,16,29,210,680,7300,10000,11000,11000,13000,13000,13000
GET,/api/customer/owners/1,249,208,16,1423.0921156626498,7.442799999978433,12314.85,145.36546184738955,0.411918469346963,0.34409253664324624,16,29,140,660,9100,10000,10000,11000,12000,12000,12000
GET,/api/customer/owners/10,251,197,17,1777.0530274900384,7.914999999968586,11463.349300000005,145.5577689243028,0.41522705143007116,0.3258953351861515,17,38,460,3800,8800,10000,10000,11000,11000,11000,11000
GET,/api/customer/owners/2,241,203,14,1241.3376377593358,5.924600000071223,12591.463499999974,145.63485477178423,0.3986841410145305,0.3358210814354759,14,30,160,590,5500,9300,11000,11000,13000,13000,13000
GET,/api/customer/owners/3,256,214,15,1499.3607539062502,6.032699999991564,13544.170599999972,145.2109375,0.4234985066378415,0.35401828289257065,15,25,84,590,8000,10000,11000,13000,14000,14000,14000
GET,/api/customer/owners/4,242,201,16,1427.0866611570236,7.986999999957334,12117.470500000003,144.9504132231405,0.40033843205608455,0.33251249935236776,17,43,500,750,7700,9100,10000,10000,12000,12000,12000
GET,/api/customer/owners/5,229,184,16,1662.2002126637572,5.367400000068301,15697.05579999993,144.65938864628822,0.37883264851588166,0.30438955164594855,16,30,620,3700,7900,9600,11000,11000,16000,16000,16000
GET,/api/customer/owners/6,229,191,15,1303.5643969432324,7.822000000032858,15866.048800000044,145.0131004366812,0.37883264851588166,0.3159695889368271,15,28,170,440,6900,9200,11000,13000,16000,16000,16000
GET,/api/customer/owners/7,245,216,15,1341.6334428571433,5.464599999982056,14352.946799999998,146.22448979591837,0.40530130518074675,0.3573268649756788,15,27,140,580,6400,10000,11000,13000,14000,14000,14000
GET,/api/customer/owners/8,246,205,14,1283.5400601626052,7.3065999999926134,12273.873999999978,145.16666666666666,0.4069555962223008,0.33912966351858403,14,20,44,280,7600,9500,10000,10000,12000,12000,12000
GET,/api/customer/owners/9,234,194,16,1290.8979141025652,6.164300000023104,13891.512200000023,145.26495726495727,0.387104103723652,0.3209324620614893,16,27,120,480,6200,9300,10000,11000,14000,14000,14000
GET,/api/vet/vets,1576,1267,15,122.7756520939071,4.582099999993261,3586.6821000000186,112.13895939086295,2.607162681489212,2.0959867496490046,15,24,56,140,410,600,970,1200,3100,3600,3600
,Aggregated,8234,7183,15,1422.3675323415102,4.582099999993261,16141.594899999973,11714.886324993928,13.6214324361562,11.882772551482873,15,29,190,530,8700,10000,11000,12000,16000,16000,16000
