Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,1774,875,8100.0,6336.475115163476,7.4629000000072665,14411.924699999985,197890.66178128522,2.94417265400656,1.4521708411813643,8100,9500,10000,10000,11000,12000,13000,14000,14000,14000,14000
POST,/api/customer/owners,436,134,4000.0,3646.3058133027507,7.916000000022905,12974.283300000025,109.80733944954129,0.7235959848629426,0.22238959167806036,4000,5000,5900,6400,7700,9100,10000,12000,13000,13000,13000
GET,/api/customer/owners/1,152,56,3800.0,3548.2059125000033,8.088299999997162,13983.373799999981,137.89473684210526,0.2522628204109341,0.0929389338356073,3900,4800,5400,6000,7700,9600,12000,14000,14000,14000,14000
GET,/api/customer/owners/10,142,37,4700.0,4014.1261352112706,7.577599999990525,11476.11169999999,137.16901408450704,0.23566658222600426,0.06140608128424054,4700,5400,6200,6500,7500,8500,11000,11000,11000,11000,11000
GET,/api/customer/owners/2,141,44,4000.0,3744.9786808510635,7.915799999977935,14199.52760000001,137.68085106382978,0.23400695840751126,0.07302344801369146,4000,4900,5700,6700,7900,9300,14000,14000,14000,14000,14000
GET,/api/customer/owners/3,153,49,4200.0,3634.3574901960737,7.655199999987872,11618.578800000023,136.44444444444446,0.2539224442294271,0.0813215671061564,4200,5100,5800,6300,7300,9000,9900,11000,12000,12000,12000
GET,/api/customer/owners/4,142,46,4000.0,3528.917918309858,7.813300000009349,11635.480000000029,135.83098591549296,0.23566658222600426,0.07634269565067743,4000,4900,5700,5900,7700,9100,10000,10000,12000,12000,12000
GET,/api/customer/owners/5,131,37,4100.0,3546.2228000000055,7.9537000000300395,13978.73130000005,135.80152671755727,0.21741072022258137,0.06140608128424054,4100,4800,5400,5700,6700,8600,11000,12000,14000,14000,14000
GET,/api/customer/owners/6,118,44,3400.0,3148.5088211864413,7.704499999988457,11012.063199999942,136.71186440677965,0.19583561058217255,0.07302344801369146,3400,4700,5500,6200,7300,8700,9600,9800,11000,11000,11000
GET,/api/customer/owners/7,126,35,4500.0,3798.3417420634955,7.781399999998939,10529.368299999987,137.16666666666666,0.20911260113011645,0.05808683364725457,4500,5300,5800,5900,7100,7800,10000,10000,11000,11000,11000
GET,/api/customer/owners/8,139,48,4100.0,3723.0923510791326,7.995699999980843,12203.0623,136.8705035971223,0.23068771077052527,0.0796619432876634,4100,5200,6100,6500,8300,9500,11000,11000,12000,12000,12000
GET,/api/customer/owners/9,131,40,4300.0,3812.15939847328,7.689499999969485,12969.457100000007,136.8854961832061,0.21741072022258137,0.0663849527397195,4300,5300,6000,6400,8200,9400,10000,12000,13000,13000,13000
GET,/api/vet/vets,893,271,130.0,280.12209641657347,7.7901000000224485,5219.553099999999,43.57558790593505,1.4820440699142379,0.44975805481159964,130,360,460,510,700,870,1100,1400,5200,5200,5200
,Aggregated,4478,1716,3400.0,4043.5365052478883,7.4629000000072665,14411.924699999985,78457.57034390353,7.431795459211599,2.847914472533967,3400,6000,7700,8700,10000,11000,12000,13000,14000,14000,14000
