Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,4903,4846,170.0,2520.8110532735113,7.767699999988054,27864.6698,6040.553334693045,16.443874851213447,16.25270600223952,170,730,2700,4800,9700,14000,17000,19000,25000,28000,28000
POST,/api/customer/owners,1224,1199,160.0,2388.3979243464055,7.851799999997411,27869.450600000004,55.63643790849673,4.105099493755916,4.021253507363843,160,640,2100,4500,9000,14000,16000,18000,28000,28000,28000
GET,/api/customer/owners/1,370,361,140.0,2465.517671621621,8.390099999985523,19946.328800000003,150.45945945945945,1.2409205986026872,1.2107360435015408,140,520,3400,5300,9400,14000,16000,17000,20000,20000,20000
GET,/api/customer/owners/10,341,333,120.0,2233.2733029325505,9.410000000002583,25168.767200000002,153.3548387096774,1.143659254387882,1.1168285387424184,120,520,1700,4300,8500,14000,16000,17000,25000,25000,25000
GET,/api/customer/owners/2,360,353,150.0,2392.5362391666677,8.717999999987569,24949.9994,150.26388888888889,1.2073822040458577,1.1839053278560772,150,490,2700,4700,8500,14000,16000,19000,25000,25000,25000
GET,/api/customer/owners/3,348,342,160.0,2254.202164942527,8.518600000002152,24971.456900000005,151.44827586206895,1.1671361305776626,1.147013093843565,170,650,1800,4100,8900,13000,16000,18000,25000,25000,25000
GET,/api/customer/owners/4,332,321,240.0,2783.3573653614458,8.198199999995381,27831.9459,150.95481927710844,1.1134746992867355,1.0765824652742233,240,770,4500,5900,9500,14000,18000,24000,28000,28000,28000
GET,/api/customer/owners/5,365,358,130.0,1948.5965424657547,8.131300000002284,20966.282900000002,150.18904109589042,1.2241514013242725,1.200674525134492,130,520,1300,3000,6600,12000,16000,19000,21000,21000,21000
GET,/api/customer/owners/6,354,348,230.0,2142.9089898305087,8.397099999996271,19666.388600000006,151.27118644067798,1.1872591673117603,1.1671361305776626,230,620,2200,4600,8300,11000,15000,17000,20000,20000,20000
GET,/api/customer/owners/7,372,364,130.0,2081.3085486559125,8.46149999998147,18036.860100000013,150.13978494623655,1.247628277514053,1.2207975618685896,130,490,2000,4200,6600,14000,15000,17000,18000,18000,18000
GET,/api/customer/owners/8,362,359,100.0,1985.3568002762427,9.21410000000833,17734.88259999999,149.4972375690608,1.2140898829572238,1.2040283645901748,100,380,1000,2400,8700,13000,15000,16000,18000,18000,18000
GET,/api/customer/owners/9,328,321,180.0,2429.0661173780486,7.975999999999317,18769.8029,150.4298780487805,1.1000593414640039,1.0765824652742233,180,670,2300,4700,9400,14000,17000,18000,19000,19000,19000
GET,/api/vet/vets,2407,2197,150.0,1613.4362880764427,7.908600000007482,27881.0283,184.7569588699626,8.072691569828832,7.368385284135416,150,570,1400,3000,6600,7600,9400,10000,28000,28000,28000
,Aggregated,12066,11702,160.0,2251.7505161031017,7.767699999988054,27881.0283,2541.2068622575835,40.46742687227034,39.246629310401744,160,640,2200,4400,8500,13000,16000,18000,25000,28000,28000
