Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,5141,5042,75,2398.528386150554,7.6880000000016935,25889.887000000002,8490.059521493873,17.232657444372645,16.900808954391536,75,360,2700,4300,8600,15000,18000,19000,24000,26000,26000
POST,/api/customer/owners,1185,1146,66,2238.656605232068,7.495800000000941,24322.2228,56.643881856540084,3.9721258649254203,3.8413976719025587,66,320,1600,4100,8300,15000,18000,19000,23000,24000,24000
GET,/api/customer/owners/1,406,394,75,1916.6215142857145,7.613200000008646,20773.561699999987,150.77339901477833,1.3609140094174859,1.320689950025836,79,310,970,3000,6400,13000,16000,18000,21000,21000,21000
GET,/api/customer/owners/10,390,378,79,2060.272261025641,8.122399999990648,23668.848599999998,154.4,1.3072819302286194,1.2670578708369695,79,320,2500,4200,6900,12000,16000,19000,24000,24000,24000
GET,/api/customer/owners/2,372,366,84,2432.3026,7.464400000003479,24325.569000000003,150.0483870967742,1.2469458411411447,1.2268338114453197,86,460,3800,4700,7700,16000,18000,20000,24000,24000,24000
GET,/api/customer/owners/3,393,380,60,2089.887335368958,7.934699999992745,24318.3905,153.6972010178117,1.317337945076532,1.273761880735578,60,260,640,3300,8300,15000,18000,19000,24000,24000,24000
GET,/api/customer/owners/4,369,359,63,2353.5293021680227,8.053500000016811,23578.513700000003,150.59891598915988,1.2368898262932322,1.2033697768001907,63,360,2300,4200,8800,15000,19000,21000,24000,24000,24000
GET,/api/customer/owners/5,377,364,70,2428.993240318302,7.87970000001792,20774.89780000002,151.13793103448276,1.2637058658876654,1.2201298015467115,70,400,2800,4600,8500,15000,18000,18000,21000,21000,21000
GET,/api/customer/owners/6,369,356,66,2382.458752845529,8.243499999991855,24314.099700000002,153.72086720867208,1.2368898262932322,1.1933137619522782,66,300,2400,4400,8900,15000,19000,21000,24000,24000,24000
GET,/api/customer/owners/7,376,365,44,2079.2150175531924,8.022600000003877,19460.2743,150.5505319148936,1.2603538609383613,1.2234818064960156,45,320,800,3200,8400,14000,17000,18000,19000,19000,19000
GET,/api/customer/owners/8,392,378,42,1964.2775525510212,7.890000000003283,25892.753700000005,151.14285714285714,1.3139859401272276,1.2670578708369695,43,150,690,2900,6600,13000,17000,19000,26000,26000,26000
GET,/api/customer/owners/9,376,368,51,1981.6379744680867,8.046899999996526,23667.4569,150.4255319148936,1.2603538609383613,1.233537821343928,51,290,840,3400,6700,13000,17000,18000,24000,24000,24000
GET,/api/vet/vets,2501,2254,75,1317.0220674930017,7.600599999989299,12936.827499999992,190.6641343462615,8.383364378209684,7.555419155731559,75,320,1000,2500,5200,7300,8800,10000,13000,13000,13000
,Aggregated,12647,12150,70,2098.9562012572183,7.464400000003479,25892.753700000005,3540.026014074484,42.39280659384961,40.72686013404545,70,330,1800,3900,7300,13000,17000,19000,24000,26000,26000
