Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,5098,5016,150.0,2240.1648430561045,7.462699999990718,30233.1858,7707.19262455865,17.046579142045253,16.772389363769907,150,440,970,2900,8800,14000,18000,20000,26000,30000,30000
POST,/api/customer/owners,1294,1250,120.0,2170.699876738793,7.557699999992451,27767.692299999995,56.7403400309119,4.3268484522963035,4.179722229807094,120,380,910,2500,8500,14000,18000,20000,26000,28000,28000
GET,/api/customer/owners/1,381,370,170.0,2185.6105989501298,8.182099999999082,24108.2296,150.73228346456693,1.2739793356452023,1.2371977800229,170,440,1000,2500,8800,13000,18000,19000,24000,24000,24000
GET,/api/customer/owners/10,393,389,130.0,2022.2297633587775,8.097800000001598,25137.964700000004,151.4554707379135,1.3141046690513505,1.3007295579159677,130,380,790,2100,8500,13000,16000,20000,25000,25000,25000
GET,/api/customer/owners/2,388,378,170.0,2019.1484806701033,8.17189999999357,24125.5811,150.67525773195877,1.297385780132122,1.2639480022936653,170,480,1100,3300,8500,13000,15000,19000,24000,24000,24000
GET,/api/customer/owners/3,407,393,150.0,2468.2367390663408,7.951600000012604,26157.947199999995,153.8845208845209,1.36091755802519,1.3141046690513505,150,540,1200,3400,8500,16000,24000,25000,26000,26000,26000
GET,/api/customer/owners/4,385,370,110.0,2087.855227792207,8.513000000007764,19460.486000000004,151.2987012987013,1.287354446780585,1.2371977800229,110,370,740,2000,8800,15000,18000,18000,19000,19000,19000
GET,/api/customer/owners/5,360,354,140.0,2735.905393333334,8.25380000000564,25266.567200000005,150.03333333333333,1.2037600021844432,1.1836973354813691,150,540,2400,5000,12000,16000,18000,20000,25000,25000,25000
GET,/api/customer/owners/6,397,382,170.0,2102.6854695214115,8.129300000007333,24114.610700000005,154.06297229219143,1.327479780186733,1.277323113429048,170,480,960,2400,9100,13000,16000,19000,24000,24000,24000
GET,/api/customer/owners/7,385,379,160.0,1990.407457922077,8.25860000000489,20151.5081,149.82597402597403,1.287354446780585,1.267291780077511,160,470,920,2300,7800,13000,16000,19000,20000,20000,20000
GET,/api/customer/owners/8,394,384,190.0,2054.640633756345,8.252999999996291,24329.7184,150.5228426395939,1.3174484468351961,1.2840106689967394,200,490,980,2300,7700,15000,18000,19000,24000,24000,24000
GET,/api/customer/owners/9,379,364,130.0,2146.4114577836413,7.895999999988135,24338.520699999997,151.65171503957782,1.267291780077511,1.2171351133198258,130,450,1100,2800,8500,15000,18000,20000,24000,24000,24000
GET,/api/vet/vets,2548,2338,150.0,1254.0388143642065,7.394099999999071,26107.201999999994,182.28021978021977,8.519945793238781,7.8177524586311895,150,420,710,1200,4000,7000,9700,14000,25000,26000,26000
,Aggregated,12809,12367,150.0,2018.333544156448,7.394099999999071,30233.1858,3155.209149816535,42.83044963327926,41.35249985281947,150,440,890,2300,7700,13000,17000,20000,26000,30000,30000
