Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,4989,4930,110.0,2204.372591521348,8.00239999998098,23520.858899999977,6005.11966325917,16.768513971439834,16.570209236159226,110,410,1900,3800,8200,13000,16000,19000,22000,24000,24000
POST,/api/customer/owners,1257,1230,130.0,2372.449957597457,7.858400000003485,22012.018600000003,55.73428798727128,4.2248991906393805,4.134149566019442,130,560,2600,4000,8800,14000,17000,20000,22000,22000,22000
GET,/api/customer/owners/1,392,381,120.0,2374.815012499999,8.396099999998796,22265.19300000001,150.68367346938774,1.317550105593188,1.2805780363035832,120,500,2100,3700,9800,15000,17000,21000,22000,22000,22000
GET,/api/customer/owners/10,350,346,98,2253.975505999999,8.051899999998113,22049.151800000003,151.6342857142857,1.1763840228510607,1.162939634018477,110,570,2300,3900,7900,13000,16000,17000,22000,22000,22000
GET,/api/customer/owners/2,379,368,120.0,2088.3601580474947,8.64339999999686,21925.716499999966,150.88654353562006,1.2738558418872914,1.2368837725976867,120,510,1700,3500,8100,13000,15000,17000,22000,22000,22000
GET,/api/customer/owners/3,363,357,110.0,2597.8992366391176,8.685100000008106,22166.55149999997,151.34710743801654,1.2200782865569573,1.199911703308082,110,400,2100,4300,10000,16000,20000,22000,22000,22000,22000
GET,/api/customer/owners/4,412,396,100.0,2075.770744902912,8.492099999983793,22143.278300000005,151.29126213592232,1.3847720497561058,1.3309944944257714,110,470,1800,3100,7400,14000,16000,17000,22000,22000,22000
GET,/api/customer/owners/5,384,378,120.0,2298.078830989583,9.160200000025043,21703.79009999999,149.96875,1.2906613279280208,1.2704947446791455,120,420,2700,4000,9300,13000,17000,18000,22000,22000,22000
GET,/api/customer/owners/6,376,371,120.0,1885.8940212765967,8.491099999986318,19671.207400000014,150.78191489361703,1.2637725502628536,1.2469670642221242,120,390,1500,2600,6600,14000,15000,17000,20000,20000,20000
GET,/api/customer/owners/7,402,390,120.0,2044.5602106965198,8.594399999992675,21805.608300000018,150.5820895522388,1.3511610776746468,1.3108279111768961,130,690,2000,3900,6800,12000,15000,16000,22000,22000,22000
GET,/api/customer/owners/8,413,402,88,2314.101603147699,8.526500000016313,22005.22810000001,150.59806295399517,1.3881331469642515,1.3511610776746468,88,440,2200,4100,9700,14000,16000,17000,22000,22000,22000
GET,/api/customer/owners/9,381,370,92,1910.9966372703398,8.0952999999937,18367.7649,150.93438320209972,1.2805780363035832,1.2436059670139783,92,310,1200,2900,7200,12000,15000,17000,18000,18000,18000
GET,/api/vet/vets,2530,2318,110.0,1294.304935849801,7.6426999999910095,12181.599999999997,182.98656126482214,8.503575936609096,7.791023328482168,110,420,1200,2200,5000,6800,8400,9800,12000,12000,12000
,Aggregated,12628,12237,110.0,2032.0892963176964,7.6426999999910095,23520.858899999977,2460.6962305986694,42.44393554446627,41.12974653608123,110,450,1900,3400,7200,12000,16000,17000,22000,22000,24000
