Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,5056,4963,50,2380.216096340977,7.526999999981854,23532.842200000003,8360.651700949367,16.968445752208254,16.656328375832587,50,220,1400,4500,9100,15000,18000,20000,23000,24000,24000
POST,/api/customer/owners,1328,1294,47,2279.3423820030107,7.740499999997041,22374.7832,56.05572289156626,4.456901890611662,4.342794462689375,48,200,950,4400,8700,15000,19000,20000,22000,22000,22000
GET,/api/customer/owners/1,389,380,52,2322.198914395887,7.927300000005744,21302.1098,150.38817480719794,1.3055232194638076,1.275318312072614,52,240,1400,4600,8800,14000,17000,19000,21000,21000,21000
GET,/api/customer/owners/10,339,332,54,2647.2134911504395,7.729500000010603,24232.627599999996,152.952802359882,1.1377181784016215,1.1142254726529155,54,480,3300,5500,9600,16000,19000,21000,24000,24000,24000
GET,/api/customer/owners/2,385,374,48,2184.373091428571,8.265800000003765,21971.7112,150.85714285714286,1.2920988161788327,1.2551817071451516,48,210,1700,4700,8600,12000,16000,19000,22000,22000,22000
GET,/api/customer/owners/3,392,382,37,2045.5022114795922,8.030100000013363,24070.7887,152.62244897959184,1.3155915219275387,1.2820305137151013,38,120,610,2900,7700,13000,16000,22000,24000,24000,24000
GET,/api/customer/owners/4,398,390,61,2141.107259045227,8.056399999986752,21189.178599999992,150.1859296482412,1.335728126855001,1.3088793202850513,63,240,1300,3300,8000,15000,18000,19000,21000,21000,21000
GET,/api/customer/owners/5,352,338,90,2832.6772164772733,8.146799999991572,22390.118199999997,151.4659090909091,1.1813474890777897,1.1343620775803778,91,930,3900,6400,10000,16000,17000,20000,22000,22000,22000
GET,/api/customer/owners/6,363,354,63,2401.810237465564,7.925200000002519,23536.0122,152.32231404958677,1.2182645981114708,1.1880596907202772,63,280,1600,4500,8800,16000,18000,21000,24000,24000,24000
GET,/api/customer/owners/7,357,345,43,1836.9598086834726,7.836900000000924,20758.629599999993,150.78151260504202,1.1981279931840083,1.1578547833290838,43,170,490,1500,8100,13000,16000,18000,21000,21000,21000
GET,/api/customer/owners/8,364,354,56,2341.471701098902,8.221900000023652,21966.405400000003,150.64835164835165,1.2216206989327145,1.1880596907202772,58,450,2700,4900,8700,14000,16000,18000,22000,22000,22000
GET,/api/customer/owners/9,344,323,50,2379.259995058142,8.159599999999045,24070.407,153.09011627906978,1.15449868250784,1.0840205652617219,50,210,1900,4400,8200,16000,20000,21000,24000,24000,24000
GET,/api/vet/vets,2536,2285,49,1403.1768203864353,7.6815000000038935,11882.362700000001,190.77405362776025,8.511071682674077,7.668690376541902,49,200,1000,2600,5900,7700,9000,9800,12000,12000,12000
,Aggregated,12603,12114,50,2151.1570987780656,7.526999999981854,24232.627599999996,3442.6462746965008,42.296938650134614,40.65580534854644,50,220,1400,3900,8100,13000,17000,20000,22000,24000,24000
