Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,6983,6782,20,1299.991594658457,7.841800000008448,17851.563099999996,11730.278819991408,11.563737852556132,11.230885023061104,20,42,260,880,4500,11000,12000,13000,18000,18000,18000
POST,/api/customer/owners,1779,1683,19,1123.249470545251,7.640399999999659,17839.4288,58.344013490725125,2.945995938664952,2.787021452935983,19,41,170,650,3200,11000,12000,13000,18000,18000,18000
GET,/api/customer/owners/1,509,486,18,1329.0559306483312,8.079599999973652,15537.71469999998,151.71119842829077,0.8428959712088029,0.8048083340029042,18,40,280,920,5600,11000,12000,13000,16000,16000,16000
GET,/api/customer/owners/10,482,457,19,1222.013846265559,8.194799999998281,15541.681399999987,157.41701244813277,0.7981843970975305,0.7567847914389448,20,39,300,1000,4000,11000,12000,13000,16000,16000,16000
GET,/api/customer/owners/2,531,509,21,1359.013378531074,7.919200000003457,16113.860299999998,151.6930320150659,0.8793276241883583,0.8428959712088029,21,51,310,880,4700,11000,13000,14000,16000,16000,16000
GET,/api/customer/owners/3,541,516,18,1161.2106643253235,8.007800000001453,14704.295300000013,155.56192236598892,0.8958874664517925,0.8544878607932069,18,46,280,880,2500,11000,12000,13000,15000,15000,15000
GET,/api/customer/owners/4,552,527,19,1106.0849869565216,8.171500000003107,13230.595900000026,151.67210144927537,0.9141032929415702,0.8727036872829845,19,37,330,760,3400,11000,12000,12000,13000,13000,13000
GET,/api/customer/owners/5,507,480,18,1308.163390729782,8.145900000016582,16017.6792,152.301775147929,0.8395840027561161,0.7948724286448436,18,48,210,820,5500,11000,12000,13000,16000,16000,16000
GET,/api/customer/owners/6,552,519,19,1249.1787728260879,7.869700000000535,16096.6533,157.0108695652174,0.9141032929415702,0.8594558134722372,19,42,320,650,4700,11000,12000,13000,16000,16000,16000
GET,/api/customer/owners/7,540,514,19,1081.9885837037064,8.15880000004654,17837.5751,151.55185185185186,0.8942314822254491,0.85117589234052,19,35,200,680,2900,10000,12000,12000,18000,18000,18000
GET,/api/customer/owners/8,492,470,22,947.6577739837396,8.129599999989523,13868.928900000014,151.6829268292683,0.8147442393609647,0.7783125863814094,22,46,290,730,2400,7600,12000,12000,14000,14000,14000
GET,/api/customer/owners/9,514,494,20,952.8703330739291,7.851900000019896,14508.017200000002,151.6070038910506,0.85117589234052,0.8180562078136515,20,40,150,590,2100,9200,12000,12000,15000,15000,15000
GET,/api/vet/vets,3558,3215,19,422.50245750421624,7.455599999985907,7170.8538,189.45446880269816,5.891991877329904,5.323989287694109,19,36,130,440,1400,2400,4700,5500,7100,7200,7200
,Aggregated,17540,16652,19,1066.0409531984026,7.455599999985907,17851.563099999996,4759.989509692132,29.04596333006366,27.5754493370707,19,41,210,680,2700,10000,12000,13000,16000,18000,18000
