Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,7552,7272,17,1210.1972576138828,7.719800000003829,16279.988300000014,11174.225503177966,12.617251537482996,12.149450897851741,17,27,54,250,3900,11000,13000,14000,15000,16000,16000
POST,/api/customer/owners,1879,1778,16,956.9178300691852,8.009799999996403,15007.948200000044,58.31985098456626,3.1392764352397444,2.97053406165847,16,25,42,83,2000,9800,12000,13000,15000,15000,15000
GET,/api/customer/owners/1,560,523,16,1173.9716323214275,7.904199999984485,15078.86719999999,152.03035714285716,0.9356012792625102,0.8737847661683802,16,25,42,160,4100,11000,12000,13000,15000,15000,15000
GET,/api/customer/owners/10,574,538,16,1045.9671557491301,7.990699999993467,14838.867300000004,158.03135888501743,0.958991311244073,0.8988455147200545,16,24,42,110,2300,11000,13000,13000,15000,15000,15000
GET,/api/customer/owners/2,541,501,18,1306.3853707948253,7.826800000003686,14544.957299999993,152.87985212569316,0.9038576644303894,0.8370290016259244,18,33,100,790,5100,11000,13000,13000,15000,15000,15000
GET,/api/customer/owners/3,556,523,15,740.1436125899291,8.135700000025281,13676.362700000027,156.48741007194243,0.9289184129820638,0.8737847661683802,16,24,33,57,1600,6700,11000,12000,14000,14000,14000
GET,/api/customer/owners/4,567,530,16,1073.947565608467,7.961200000000446,15079.359599999974,151.91534391534393,0.9472962952532916,0.8854797821591616,16,26,46,160,3000,9400,12000,14000,15000,15000,15000
GET,/api/customer/owners/5,578,543,17,959.8848051903115,8.059199999991051,14544.900799999994,151.81487889273356,0.9656741775245196,0.9071990975706127,17,28,50,95,2100,8900,12000,13000,15000,15000,15000
GET,/api/customer/owners/6,532,504,16,916.596332330827,8.310499999993226,14758.20189999996,155.10526315789474,0.8888212152993847,0.8420411513362592,16,24,60,140,1900,9500,12000,13000,15000,15000,15000
GET,/api/customer/owners/7,540,483,17,1262.0030596296315,7.999600000005103,14192.303299999992,153.7,0.9021869478602778,0.8069561033639151,17,34,140,890,5700,9700,12000,12000,14000,14000,14000
GET,/api/customer/owners/8,557,514,16,1041.1115741472167,8.088000000014972,14861.955000000024,152.70915619389586,0.9305891295521754,0.8587483170373755,16,25,53,160,2500,9700,12000,13000,15000,15000,15000
GET,/api/customer/owners/9,527,503,16,937.799917267552,8.159200000022793,15089.903699999979,151.09677419354838,0.8804676324488266,0.8403704347661476,16,24,40,150,1900,9600,13000,14000,15000,15000,15000
GET,/api/vet/vets,3728,3327,17,308.07292695815414,7.659899999993058,5634.5795999999955,194.28809012875536,6.22843137337614,5.558474028761378,17,27,51,150,1100,2000,2900,4600,5400,5600,5600
,Aggregated,18691,17539,17,956.02215242095,7.659899999993058,16279.988300000014,4604.958964207372,31.227363411956393,29.3026979231878,17,26,51,170,2000,9700,12000,13000,15000,15000,16000
