Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners,5421,5330,220.0,1977.392376037633,7.683199999974022,21949.391600000014,5899.062350119904,9.18657841016237,9.03236726179034,220,980,1800,2500,7700,12000,13000,14000,20000,22000,22000
POST,/api/customer/owners,1348,1289,200.0,1812.175974258157,7.735999999908927,19896.797000000006,57.52893175074184,2.284358549510953,2.1843754972697464,200,990,1800,2500,5500,12000,13000,14000,19000,20000,20000
GET,/api/customer/owners/1,406,389,140.0,1650.4654785714285,8.070900000006986,14442.304299999996,150.9630541871921,0.688018969659827,0.6592102935903269,140,620,1500,2100,5400,11000,13000,14000,14000,14000,14000
GET,/api/customer/owners/10,415,386,230.0,2208.369668192769,8.000599999945734,19918.36599999999,159.48674698795182,0.7032706216966212,0.6541264095780621,230,1200,2000,2900,10000,12000,13000,14000,20000,20000,20000
GET,/api/customer/owners/2,380,361,160.0,1732.9406436842085,8.15469999997731,20255.121099999997,151.7421052631579,0.6439586415535327,0.611760709475856,160,680,1700,2200,5900,11000,12000,16000,20000,20000,20000
GET,/api/customer/owners/3,400,382,230.0,1882.3482209999993,8.131400000024769,19921.0573,154.8575,0.6778512016352976,0.6473478975617092,240,990,1800,2300,7300,11000,14000,16000,20000,20000,20000
GET,/api/customer/owners/4,412,391,230.0,2032.1067466019413,8.066699999972116,16756.303600000025,151.49757281553397,0.6981867376843565,0.6625995495985033,230,1100,1800,2700,9200,12000,13000,14000,17000,17000,17000
GET,/api/customer/owners/5,397,380,290.0,1901.2840289672574,8.072800000036295,15657.29269999997,151.1057934508816,0.6727673176230328,0.6439586415535327,290,1200,2000,2700,5800,12000,12000,13000,16000,16000,16000
GET,/api/customer/owners/6,384,362,210.0,2049.224355729166,8.380099999953927,17621.859400000005,156.15364583333334,0.6507371535698856,0.6134553374799443,210,950,1800,2600,9400,12000,13000,14000,18000,18000,18000
GET,/api/customer/owners/7,400,378,350.0,2088.6182352499986,7.83590000003187,17078.51240000002,151.345,0.6778512016352976,0.6405693855453561,350,1200,2100,3100,9400,12000,13000,15000,17000,17000,17000
GET,/api/customer/owners/8,387,365,210.0,2027.5183878553005,8.087699999919096,20245.095699999994,151.91989664082686,0.6558210375821504,0.618539221492209,210,980,1800,2800,7300,12000,13000,17000,20000,20000,20000
GET,/api/customer/owners/9,423,398,240.0,1785.42493782506,8.18919999994705,15855.092600000035,152.39716312056737,0.7168276457293271,0.674461945627121,240,1200,1900,2300,5200,12000,12000,12000,16000,16000,16000
GET,/api/vet/vets,2747,2480,170.0,964.8540439024397,7.838499999934356,14109.649999999987,189.37204222788498,4.655143127230406,4.202677450138845,170,670,1300,1700,3000,4400,5700,7500,12000,14000,14000
,Aggregated,13520,12891,210.0,1742.9735223816565,7.683199999974022,21949.391600000014,2454.8681952662723,22.911370615273057,21.845449600701553,210,900,1700,2300,5200,11000,13000,14000,20000,22000,22000
